# File Name: RGD_Gene_List.tsv
# 
# File Type: tab-separated values
# 
# More notes: TBA (to be added, in a future version)
# 
# Column Headers:
# MOD ID	Symbol	Synonyms	Name	Notes
1308279	Adnp2	LOC307236|MGC188386|RGD1308279		
1308233	Ado	LOC309732|RGD1308233		
2048	Adora1			
2049	Adora2a	A2ar|Adora2l1|MGC93190		
2050	Adora2b			
2051	Adora3	TGPCR1		
1306103	Adpgk	LOC315722|RGD1306103		
2052	Adprh	MGC95225		
1309068	Adprhl2	LOC362600		
1305641	Adprhl1	LOC290880		
1309906	Adprm	ADPRibase-Mn|LOC287406|MDS006|MGC108803|RGD1309906		
2055	Adra1a	Adra1c		
2054	Adra1b			
62064	Adra1d	Adrd1|RA42		
2058	Adra2c			
2057	Adra2b			
2056	Adra2a	CA2-47|RATRG20|RG20		
69248	Adrm1	ARM-1|Gp110		
2059	Adrb1	B1AR|RATB1AR		
1307617	Adsl	LOC315150		
1310508	Adss	Adss2|LOC289276		
1305679	Adtrp	Aa2-020|LOC361228|RGD1305679		
1307233	Aebp2	LOC297705		
1306922	Aebp1	LOC305494		
1305051	Aen	Isg20l1|LOC361594|RGD1305051		
2061	Adrb3	ADRB		
619959	Afap1	Afap		
2060	Adrb2			
1590342	Adssl1	AdSS 1		
1311580	Afap1l1	LOC291565|RGD1311580		
1310668	Afap1l2	LOC292130|RGD1310668		
708561	Afdn	Af6|Mllt4		
1307940	Aff1	LOC305152|Mllt2		
1565592	Aff2	LOC293922|RGD1565592		
1308527	Aff3	LOC363220|Laf4		
1311694	Aff4	LOC303132|Laf4l		
1309722	Afg3l1	LOC361436		
1561501	Afg1l	LOC502479|Lace1|MGC124994		
1305259	Afg3l2	LOC307350|MGC109579		
1591143	Afmid	LOC688283		
628614	Afm			
1311920	Aftph	LOC305544|RGD1311920		
1309646	Aga	LOC290923|MGC112709		
2065	Afp			
1309244	Agap1	Centg2|LOC316611		
628844	Agap2	AGAP-2|Centg1|Pike|cnt-g1		
2731	Aes	Grg|Grg-5|MGC124620|R-esp1		
1561995	Agbl3	LOC500076|RGD1561995		
1306827	Agbl2	LOC366124|RGD1306827		
1310751	Agap3	Centg3|LOC362300		
1560280	Agbl1	LOC308724|RGD1560280		
6493177	Agbl4	LOC100911395		
1598311	Agbl5	LOC362710		
1310527	Agfg1-ps1	Hrb|LOC311525|LOC689529		
1560041	Agfg1	LOC363266|MGC116375		
1306590	Agfg2	Hrbl|LOC304375		
1562046	Agk	LOC502749|RGD1562046		
1310888	Aggf1	LOC310005|RGD1310888		
1308424	Agmat	AUH|LOC298607		
1306376	Agl	LOC362029		
1304619	Ago1	Eif2c1|LOC313594		
