# input[ftp://ftp.sanger.ac.uk/pub/consortia/wormbase/STAFF/mh6/nightly_geneace/clones2.ace.gz] script ingest_wormbase_clone2.groovy
#Thu Mar 15 21:28:18 PDT 2018
# ID|SYMBOL|NAME|SYNONYMS|NOTES
2L52	2L52		2L52|Caenorhabditis elegans
V73	V73		Caenorhabditis elegans
V74	V74		Caenorhabditis elegans
V75	V75		Caenorhabditis elegans
V76	V76		Caenorhabditis elegans
V77	V77		Caenorhabditis elegans
V78	V78		Caenorhabditis elegans
V81	V81		Caenorhabditis elegans
V82	V82		Caenorhabditis elegans
V83	V83		Caenorhabditis elegans
V84	V84		Caenorhabditis elegans
V85	V85		Caenorhabditis elegans
V86	V86		Caenorhabditis elegans
V87	V87		Caenorhabditis elegans
V89	V89		Caenorhabditis elegans
V90	V90		Caenorhabditis elegans
V91	V91		Caenorhabditis elegans
V92	V92		Caenorhabditis elegans
V93	V93		Caenorhabditis elegans
V94	V94		Caenorhabditis elegans
V95	V95		Caenorhabditis elegans
V96	V96		Caenorhabditis elegans
V97	V97		Caenorhabditis elegans
V98	V98		Caenorhabditis elegans
V99	V99		Caenorhabditis elegans
V100	V100		Caenorhabditis elegans
V101	V101		Caenorhabditis elegans
V103	V103		Caenorhabditis elegans
V104	V104		Caenorhabditis elegans
V105	V105		Caenorhabditis elegans
V106	V106		Caenorhabditis elegans
V107	V107		Caenorhabditis elegans
V108	V108		Caenorhabditis elegans
V109	V109		Caenorhabditis elegans
V110	V110		Caenorhabditis elegans
V111	V111		Caenorhabditis elegans
V112	V112		Caenorhabditis elegans
V113	V113		Caenorhabditis elegans
V114	V114		Caenorhabditis elegans
V115	V115		Caenorhabditis elegans
V116	V116		Caenorhabditis elegans
V117	V117		Caenorhabditis elegans
V118	V118		Caenorhabditis elegans
V119	V119		Caenorhabditis elegans
V120	V120		Caenorhabditis elegans
V121	V121		Caenorhabditis elegans
V122	V122		Caenorhabditis elegans
V123	V123		Caenorhabditis elegans
V124	V124		Caenorhabditis elegans
V125	V125		Caenorhabditis elegans
VA2	VA2		Caenorhabditis elegans
VA3	VA3		Caenorhabditis elegans
VA4	VA4		Caenorhabditis elegans
VB0395L	VB0395L		VB0395L|Caenorhabditis elegans
VF10	VF10		VD1046R|Caenorhabditis elegans
VVD4	VVD4		VT23B5|Caenorhabditis elegans
